NAME,PER (orbital period) ,ECC ( e or g =ecentricity),A (semi major axis),MASS,R (radius of the planet),I (inclenation idk)
,s,,au,kg,au,deg
Kepler-1591 b,707188.275936,0,0.0820512,1.2687550101E+025,5.40020321127288E-05,
Kepler-146 c,6629659.5744,,0.353393,5.548039374E+025,0.00013344714555,
Kepler-1633 b,16105329.0144,0,0.678637,2.239630572E+025,6.73830666185377E-05,
Kepler-903 b,894306.70944,0,0.0923273,2.814708828E+025,8.55430420192783E-05,
Kepler-372 d,2599997.8752,,0.189342,2.374552194E+025,7.2053047661065E-05,
Kepler-156 b,429706.5984,,0.0570224,3.319136457E+025,9.80600440112836E-05,
HD 38529 b,1236400.848,0.243663,0.1272,1.5251554581E+027,,
Proxima b,966470.4,0,0.0482823,7.014842085E+024,,
Kepler-393 c,1262616.0768,,0.11698,1.4981217675E+025,5.67045231888127E-05,
Kepler-136 c,1416893.904,,0.126325,2.78957004E+025,8.48434050722603E-05,
Kepler-1353 b,2138779.86624,0,0.151698,2.524207728E+025,7.69409484084012E-05,
Kepler-436 b,5529777.12,0,0.281824,4.297764411E+025,0.000116393972861,89.93
Kepler-1595 b,394312.724352,0,0.0508063,1.1568456321E+025,5.25683498442493E-05,
Kepler-1593 b,15077649.744,0,0.569703,5.702517606E+025,0.000135244027327,
WASP-82 b,233779.824,0,0.0448251,2.373375E+027,0.000798083129454,87.9
Kepler-1219 b,1391444.135136,0,0.134445,2.994420783E+025,9.03219829142101E-05,
Kepler-737 b,2470966.904736,0,0.146229,2.746735368E+025,8.36314656613056E-05,
Kepler-948 b,671195.481408,0,0.0757275,2.585535738E+025,7.88525247663739E-05,
Kepler-1021 b,1164213.709344,0,0.106598,3.380179662E+025,9.94019706145804E-05,
Kepler-866 b,226111.611456,0,0.0337676,2.294028327E+025,6.92946429765104E-05,
BD +20 2457 c,53739936,0.18,1.45701,1.3104656517E+028,,
Kepler-497 b,308724.797088,0,0.0470747,2.325129033E+026,0.000257584914237,
Kepler-1344 b,411981.54336,0,0.0570591,2.570042346E+025,7.83746306768807E-05,
Kepler-1388 d,1810668.88512,0,0.127527,4.65865032E+025,0.000121862992821,
Kepler-144 b,508487.5872,,0.0637947,1.4981217675E+025,5.67045231888127E-05,
HD 22781 b,45625248,0.8191,1.16847,2.627857761E+028,,
Kepler-1253 b,5951766.9456,0,0.325551,1.5129088431E+025,5.68693966496878E-05,
Kepler-208 d,961786.3104,,0.09757,1.0534652145E+025,5.11619075388708E-05,
Kepler-286 e,2524719.3696,,0.185669,2.477955396E+025,7.54637777777778E-05,
Kepler-351 b,3201545.0016,,0.217522,5.301607101E+025,0.000130462696961,
HD 120084 b,179884800,0.66,4.26892,8.50085964E+027,,
HD 95127 b,41644800,0.11,1.2802,9.56223294E+027,,
MOA-2009-BLG-266L b,,,,6.208749E+025,,
Kepler-755 c,246510.746496,0,0.036849,1.2307107582E+025,5.35241380232356E-05,
Kepler-1578 b,125356.629024,0,0.0242164,6.423757788E+024,4.44441503228653E-05,
Kepler-89 d,2016834.2496,0.022,0.173437,3.112424988E+026,0.000490797229909,89.871
Kepler-387 b,586797.3504,,0.0701869,6.154199349E+024,4.39138790411637E-05,
HD 20868 b,32905440,0.75,0.947319,3.814507287E+027,,
Kepler-854 b,185296.27824,0,0.0342955,1.8987E+027,0.000713017981524,
HIP 107773 b,12467520,0.09,0.723051,3.758115897E+027,,
HAT-P-9 b,338937.696,0,0.0528645,1.4745323187E+027,0.00066905172529,86.5
Kepler-410 A b,1540827.1872,0.17,0.142508,,0.000123600137836,87.72
Kepler-33 e,2746172.16,0,0.213825,9.973795152E+025,0.000171530047648,88.94
Kepler-1527 b,13835224.9152,0,0.614964,1.4320451088E+026,0.000203582882124,
Kepler-1093 b,2167124.76864,0,0.174668,2.730064782E+025,8.31535715718124E-05,
Kepler-1024 b,5738360.82912,0,0.299193,9.27590898E+025,0.000166785037233,
Kepler-1271 b,261411.4512,0,0.0426422,2.139037446E+025,6.30820198130991E-05,
Kepler-216 c,1503936.2016,,0.131447,5.233481745E+025,0.000129610133906,
Kepler-365 c,1536548.7456,,0.13334,2.312103951E+025,6.99211621278359E-05,
HD 215152 c,629201.952,0,0.0673941,1.026854934E+025,,
Kepler-1488 b,3440361.01248,0,0.231951,2.601124065E+025,7.93304188558671E-05,
Kepler-19 b,802396.31616,0,0.0845828,3.150740754E+025,9.4180499792778E-05,89.94
Kepler-130 b,730724.3712,,0.0812393,5.942987961E+024,4.34875497239268E-05,
Kepler-160 c,1183601.1168,,0.112047,7.606173213E+025,0.000153912004144,
Kepler-598 b,319831.569792,0,0.0447079,2.247548151E+025,6.40378079920855E-05,
K2-136 d,2209685.616,0.14,0.15366,2.139626043E+025,6.30872766480835E-05,89.4
Kepler-207 c,265383.7344,,0.0413536,2.237712885E+025,6.39522649500662E-05,
Kepler-284 b,1097206.4736,,0.106526,3.206790378E+025,9.55018769502266E-05,
K2-141 b,24219.87264,0,0.0073058,3.130234794E+025,6.69285893394297E-05,90
Kepler-326 b,194255.6256,,0.0335877,2.337033882E+025,6.4804828005722E-05,
Kepler-1391 b,4700957.75712,0,0.283792,2.363634669E+025,7.16841134239763E-05,
Kepler-1516 b,627205.229856,0,0.0743387,2.449854636E+025,7.45514779609353E-05,
Kepler-969 b,2952562.00896,0,0.200444,2.92077021E+025,8.84104065562374E-05,
HD 107148 b,4152038.4,0.05,0.270013,4.028490777E+026,,
HD 1666 b,23328000,0.63,0.937147,1.2285956064E+028,,
Kepler-200 c,883194.3648,,0.0921796,2.25109872E+025,6.77892765946069E-05,
Kepler-95 b,995595.84,0,0.102439,7.766138688E+025,0.000145811221433,
Kepler-1444 b,2887518.269376,0,0.205066,3.089963367E+025,9.2711453361676E-05,
Kepler-280 c,415332.6624,,0.0557436,2.820234045E+025,8.56959681279161E-05,
KIC 11442793 e,7943540.832,,0.423643,4.10650836E+025,0.00011326089921,89.79
Kepler-829 b,594723.653568,0,0.0703422,2.975775549E+025,8.98440888247169E-05,
Kepler-249 d,1327834.8576,,0.120974,2.227080165E+025,6.6936713538951E-05,
Kepler-812 b,874123.082784,0,0.103618,7.326627612E+025,0.000151492426369,
HD 95872 b,378000000,0.06,5.15426,8.722912605E+027,,
Kepler-1242 b,1177457.845248,0,0.102343,3.25152375E+025,9.65346060776214E-05,
51 Peg b,365539.824,0.013,0.0521068,8.755722141E+026,,
WASP-60 b,371952.09504,0,0.0531121,9.724059141E+026,0.000410988916964,87.9
Kepler-904 b,261072.169632,0,0.0429791,2.479303473E+025,7.55072661399217E-05,
Kepler-1113 b,3654762.80256,0,0.246742,4.528475448E+025,0.000119951416463,
Kepler-99 b,397749.312,0,0.0500668,3.6739845E+025,6.30997018944103E-05,
Kepler-1394 b,340214.146272,0,0.0575502,1.7377016322E+025,5.92588670971537E-05,
Kepler-752 b,1626693.63696,0,0.132223,4.528475448E+025,0.000119951416463,
Kepler-125 c,498913.6896,,0.0629914,1.906712514E+024,3.15498031577962E-05,
HD 5319 c,76550400,0.15,2.0717,2.183505E+027,,
Kepler-996 b,325779.026112,0,0.0487927,2.78045628E+025,8.4587253840292E-05,
Kepler-588 b,364748.431104,0,0.0512901,4.050287853E+025,0.000112305111031,
Kepler-1454 b,4063560.29856,0,0.246197,2.632661472E+025,8.02862070348534E-05,
Kepler-319 c,599733.2448,,0.0712147,4.040072847E+025,0.0001121297239,
Kepler-1143 c,18198483.0624,0,0.645826,7.546610994E+025,0.000153404002727,
Kepler-153 b,1630387.6128,,0.138715,4.845178608E+025,0.000124493799783,
Kepler-1642 c,574679.24928,0,0.0663298,4.10650836E+025,0.00011326089921,
Kepler-1336 b,2004366.0384,0,0.15594,2.78045628E+025,8.4587253840292E-05,
55 Cnc f,22567680,0.32,0.773567,3.282415599E+026,,
GJ 628 b,422231.034528,0.153026,0.0374757,1.1546659245E+025,,
K2-8 c,437543.424,,0.0533524,3.662934066E+025,0.000105222242731,86.7
Kepler-539 b,10854641.952,0,0.498966,4.581487152E+026,0.000356986884851,
Kepler-929 b,79577.176896,0,0.0185879,8.016767088E+024,4.73115148598243E-05,
Kepler-238 d,1143378.6336,,0.109494,5.336030532E+025,0.000130888978489,
HAT-P-54 b,328306.7808,0,0.0411908,1.443012E+027,0.000451132020482,87.04
HIP 67851 b,7672320,0.09,0.458562,2.692147743E+027,,
